,store,address
0,둔산제일학원점,"대전 서구 둔산서로 29, 1층 일부 "
1,대전시청점,"대전광역시 서구 둔산중로 50, 101호(둔산동, 파이낸스빌딩) "
2,대전을지한화점,"대전 서구 둔산로51번길 84, 21세기빌딩 1층 103호 "
3,대전오류동점,"대전 중구 계룡로816번길 11, 1층  "
4,대전도룡점,"대전광역시 유성구 엑스포로 151번길 19, 지상1층 E102호(도룡동, 도룡하우스디) "
5,대전대흥점,"대전 중구 중교로 29, 1층 "
6,세종시청점,"세종특별자치시 한누리대로 2144, 1층 110호(보람동, 스마트허브II) "
7,세종대명벨리온점,"세종특별자치시 집현중앙7로 6, 1동 1층 A130호(집현동, 지식산업센터) "
8,세종중앙타운점	,"세종특별자치시 절재로 194, 1층 103호(어진동, 중앙타운) "
9,천안아산역점,"충청남도 아산시 배방읍 고속철대로 147, 107호(우성메디피아) "
10,천안상명대점,"충정남도 천안시 동남구 상명대길 28, 1층 101호(안서동) "
11,천안미래에이스점,"충청남도 천안시 서북구 백석공단1로 10, 지원140호(백석동 천안 미래에이스하이테크시티) "
12,온양온천점,"충청남도 아산시 충무로 7-1, 1층 104호(온천동) "
13,천안삼성점,"충청남도 천안시 서북구 3공단5로 58, 1층 104호(성성동) "
14,전주아중점,"전라북도 전주시 덕진구 무삼지로 55, 1층 101호(인후동1가) "
15,전주서신점,"전라북도 전주시 완산구 당산로 39, 상가108동 1층 113호(서신동, 새마을금고) "
16,전주효자점,"전라북도 전주시 완산구 거마평로 191-2, 1층(효자동1가) "
17,전주평화점,"전라북도 전주시 완산구 모악로 4750, 1층 (약국우측) (평화동1가) "
18,전주효천지구점,"전라북도 전주시 완산구 효천중앙로 22, A동 지하1층 A-B112호(효자동2가) "
19,상주벚꽃점,경상북도 상주시 냉림4길 91(냉림동) 
20,문경점촌점,"경상북도 문경시 중앙6길 16, 1층 102호(점촌동) "
21,평택고덕점,"경기도 평택시 고덕면 고덕여염12길 76, 104호 "
22,에이스퍼스트고덕점,"경기도 평택시 고덕면 고덕중앙로 290, 145호(에이스퍼스트고덕) "
23,평택드림테크점,"경기도 평택시 청북읍 드림산단4로 42-12, 101호 "
24,구미공단점,"경상북도 구미시 1공단로 192, 1층 10,11호(공단동) "
25,동탄호수공원점,"경기도 화성시 동탄대로5길 21, 1층 E164호(송동, 라크몽) "
26,동탄목동호반포레점,"경기 화성시 동탄신리천로1길 73, 호반프라자 1층 106호 "
27,동탄AP점,"경기 화성시 동탄산단8길 19, 산단프라자 1층 104호 "
28,동탄역에이스큐브점,"경기도 화성시 동탄광역환승로 73, 207동 1층 E164호(오산동, 동탄역 반도유보라 아이비파크 8.0) "
29,동탄더퍼스트타워점,"경기도 화성시 동탄대로21길 10, 1층 159호(영천동, 더 퍼스트타워) "
30,동탄우미뉴브점,"경기 화성시 동탄대로23길 121, 141호 "
31,동탄펜테리움IT타워점,"경기도 화성시 동탄기흥로 557, 1층 112호(영천동, 금강펜테리움IT타워) "
32,동탄w스페이스점,"경기도 화성시 동탄대로23길 101, 1층 110호(영천동, W스페이스) "
33,동탄IX타워점,"경기도 화성시 동탄첨단산업1로 27, 금강펜테리움 IX타워 근린생활시설 1층 M17호(영천동) "
34,동탄샹보르줌타워점,"경기도 화성시 동탄대로 700, 1층 103호(영천동, 샹보르 줌타워) "
35,동탄비즈타워점,"경기도 화성시 동탄첨단산업1로 63-12, 117-2호(영천동) "
36,동탄성심병원점,"경기도 화성시 삼성1로 144-13, 1층 102호(석우동) "
37,동탄삼성디오네점,"경기도 화성시 삼성1로 209, 1층 114호(석우동, 동탄 삼성 디오네 오피스텔) "
38,기흥테라점,"경기도 용인시 기흥구 서천로201번길 11, 지하1층 C-L134호(농서동, 기흥 테라타워 지식산업센터) "
39,남원의료원점,"전라북도 남원시 충정로 365, 2층(고죽동, 남원의료원) "
40,망포역점,"경기도 수원시 영통구 덕영대로1556번길 16, 1층 106호(영통동, 디지털엠파이어빌딩) "
41,영통디지털엠파이어2차점,"경기도 수원시 영통구 신원로 88, 101동 1층 119호(신동,디지털엠파이어2) "
42,영통삼성점,"경기도 수원시 영통구 신원로 126, B동 1층(신동, 브레인하우스) "
43,수원터미널점,"경기도 수원시 권선구 경수대로 270, 1314호(권선동, 터미널동) "
44,수원고색중앙점,"경기도 수원시 권선구 산업로156번길 201, 1층 110,111호(고색동) "
45,수원고색점,"경기도 수원시 권선구 산업로 180, 117, 118호(고색동, 디에이치타워) "
46,기흥힉스유타워점,"경기도 용인시 기흥구 중부대로 184, A동 146호(영덕동, 힉스유타워) "
47,고색1단지점,"경기도 수원시 권선구 오목천로152번길 68, 1층 122호(고색동, 골든프라자) "
48,수원인계점,"경기도 수원시 팔달구 권광로124번길 13, 1층 110호(인계동, 테라스 더 아델라움) "
49,기흥ICT밸리B동점,"경기도 용인시 기흥구 기흥로 58, B동 B101호(구갈동, 기흥ICT밸리 SKV1) "
50,포레나광교점,"경기도 수원시 영통구 광교호수공원로 300, 155호(하동, 포레나 광교) "
